total_area,num_rooms,num_bedrooms,num_bathrooms,num_living_rooms,num_kitchens,quality_score,complexity_score,estimated_cost
123.88,5,2,1,1,1,5,7,101140.76
175.84,6,2,2,1,1,4,2,115299.98
129.71,6,2,2,1,1,3,1,76601.54
212.73,10,4,3,2,1,3,3,131657.51
193.99,8,3,3,1,1,8,5,200584.04
182.03,8,4,1,2,1,5,4,141548.74
177.89,6,3,1,1,1,4,3,118192.99
162.33,7,2,2,2,1,7,5,158758.16
147.12,5,2,1,1,1,5,2,110188.35
133.25,7,3,2,1,1,4,7,101801.43
193.69,9,3,3,2,1,5,6,158513.97
168.65,7,3,1,2,1,8,7,176530.4
176.97,7,3,1,2,1,7,5,165591.56
99.4,5,2,1,1,1,7,2,95624.23
144.47,5,2,1,1,1,3,2,85983.64
171.5,7,3,2,1,1,3,2,103416.8
144.94,8,4,1,2,1,9,6,170428.47
133.83,7,3,1,2,1,6,1,112823.0
147.29,7,4,1,1,1,8,7,158480.9
234.85,9,4,3,1,1,4,2,156126.74
148.0,6,3,1,1,1,8,4,149421.45
174.88,7,4,1,1,1,4,3,118525.61
110.19,5,2,1,1,1,3,7,74754.31
154.86,6,3,1,1,1,7,4,142409.15
131.35,7,4,1,1,1,4,5,95862.19
109.14,4,1,1,1,1,9,4,123292.68
186.11,7,3,2,1,1,3,2,109951.47
146.64,5,2,1,1,1,8,4,147305.43
95.53,4,1,1,1,1,5,6,78194.56
172.56,7,2,3,1,1,5,4,138632.39
150.65,6,3,1,1,1,6,7,136154.9
158.02,8,4,2,1,1,3,2,96755.33
117.71,6,3,1,1,1,3,1,72883.02
148.72,5,2,1,1,1,7,7,139708.6
97.85,5,2,1,1,1,9,2,113444.65
111.11,6,2,2,1,1,6,3,103115.52
138.63,7,4,1,1,1,7,4,132246.75
144.66,6,2,2,1,1,7,5,143575.43
172.34,6,2,1,2,1,5,4,132192.47
181.68,7,4,1,1,1,3,1,106667.22
149.24,5,2,1,1,1,7,3,133842.68
185.89,8,4,2,1,1,4,2,123942.56
151.76,8,4,1,2,1,9,7,179870.0
202.57,8,4,2,1,1,5,5,158366.65
141.28,6,3,1,1,1,6,7,123768.2
124.64,5,1,2,1,1,3,5,78777.56
178.11,8,3,2,2,1,4,1,121219.93
165.1,6,3,1,1,1,4,7,116236.71
132.65,6,2,2,1,1,7,4,128177.17
175.43,7,3,2,1,1,8,4,177898.17
153.53,6,2,2,1,1,6,7,139852.4
90.46,5,1,1,2,1,9,5,109621.56
145.03,6,3,1,1,1,3,1,85647.31
153.35,6,3,1,1,1,4,6,106054.13
180.87,7,3,2,1,1,7,2,160666.45
171.63,6,1,3,1,1,7,2,157372.62
204.74,7,3,2,1,1,8,6,207925.31
146.81,5,1,2,1,1,9,2,155958.1
115.28,5,2,1,1,1,7,3,109812.74
195.89,7,3,2,1,1,6,1,157802.17
109.63,5,2,1,1,1,8,7,121814.35
198.23,9,4,2,2,1,5,7,163270.26
157.3,8,3,2,2,1,4,3,110946.63
172.84,7,4,1,1,1,9,4,184410.22
138.84,7,3,2,1,1,7,1,131460.72
173.3,7,3,1,2,1,4,3,118227.36
171.57,6,3,1,1,1,9,3,176787.97
166.63,7,3,2,1,1,5,4,131431.21
170.96,6,2,2,1,1,6,4,145341.21
143.72,5,2,1,1,1,8,1,138443.17
224.39,8,4,2,1,1,8,4,219600.85
160.26,8,4,2,1,1,8,1,162932.36
173.56,7,4,1,1,1,8,4,172282.32
210.1,9,4,3,1,1,3,1,121815.19
144.9,5,2,1,1,1,6,1,115609.84
196.01,7,4,1,1,1,7,1,171310.0
171.49,7,4,1,1,1,9,3,183022.7
237.0,8,4,2,1,1,8,2,224050.15
111.94,5,2,1,1,1,8,2,117515.12
106.95,6,3,1,1,1,4,6,78243.97
202.56,7,3,2,1,1,9,1,206946.31
129.37,5,2,1,1,1,8,4,130559.24
